ID,Term,Original definition,Claude Sonnet 4.6,GPT-4,Llama 3.2 3B,Gemma 9B
011,povidona,Un polímero de polivinilo de peso molecular variable; utilizado como agente para la suspensión y dispersión y como vehículo en fármacos; ha sido también utilizado como expansor del volumen sanguíneo. ,"Sustancia sintética que se usa en la fabricación de medicamentos para ayudar a mezclar y estabilizar sus ingredientes, o como base en la que se disuelven o suspenden otros componentes. También se emplea en algunos productos para aumentar el volumen de líquido en la sangre en situaciones médicas concretas. Es conocida especialmente por su uso combinado con yodo como desinfectante para limpiar heridas y preparar la piel antes de intervenciones sanitarias.",Sustancia usada en algunos medicamentos para ayudar a mezclar y mantener unidos sus componentes. Facilita que el producto tenga una consistencia adecuada y que se distribuya bien en el cuerpo. También se ha utilizado en ciertas situaciones médicas para aumentar el volumen de la sangre.,"### Definición simplificada del término ""povidona"": 

""Un polímero utilizado para mezclar sustancias en diferentes productos, incluyendo medicamentos. También se utiliza para aumentar el volumen del sangre.""",La povidona es un material sintético utilizado para mantener en suspensión o dispersar otros ingredientes. También se puede usar como base para medicamentos o para aumentar el volumen del sangre.
012,rigidez muscular,"Contracción muscular involuntaria y sostenida que a menudo es una manifestación de una enfermedad de los ganglios basales. Cuando un músculo afectado se estira de forma pasiva, el grado de resistencia permanece constante independientemente del grado en que se estire el músculo. Esta característica ayuda a distinguir la rigidez de la espasticidad muscular. ","Sensación de tensión o dureza en uno o varios músculos que no se relajan con facilidad. Los músculos afectados oponen resistencia cuando otra persona intenta moverlos, y esa resistencia no cambia según la intensidad del movimiento. Puede aparecer como señal de que algo no funciona bien en ciertas zonas del cerebro que controlan el movimiento. Es diferente de otros tipos de tensión muscular porque la resistencia se mantiene igual en todo momento.","Es una situación en la que los músculos se mantienen tensos y duros sin que la persona lo desee. Esta tensión no desaparece cuando alguien mueve o estira el músculo con cuidado, sino que se nota la misma resistencia durante todo el movimiento. Puede dificultar moverse con normalidad y suele estar relacionada con problemas del sistema nervioso.
","La rigidez muscular es una condición donde un músculo se contrae involuntariamente y se mantiene firme sin importar cuán lo estires. Esto puede deberse a problemas en los ganglios que controlan las movimientos, y no es simplemente una tensión musculatura normal. Al estirar un músculo afectado, su resistencia permanece la misma. Esta característica es única y ayuda a distinguirla de otra condición similar: la espasticidad muscular.","La rigidez muscular es una contracción muscular involuntaria que se puede producir como resultado de ciertas enfermedades de los ganglios basales. En este caso, cuando estiras un músculo afectado, la resistencia del músculo permanece igual, independientemente de cuánto lo estires."
013,agresividad,"Comportamiento que se puede manifestar por la acción destructiva y atacar lo que es verbal o física, por las actitudes de hostilidad encubierta o por obstrucción. ","Conducta en la que una persona actúa de forma hostil hacia otras personas o hacia su entorno. Puede manifestarse de distintas maneras: con palabras hirientes o amenazas, con acciones físicas que causan daño, o dificultando de forma intencionada las actividades de los demás. No siempre es visible de forma directa, ya que a veces se expresa de manera encubierta a través de actitudes negativas o de rechazo.","Es una forma de comportamiento en la que una persona actúa o habla de manera dañina hacia otras personas o hacia el entorno. Puede incluir ataques con palabras o con hechos, rechazo constante, actitudes poco amistosas o acciones que dificultan a otras personas hacer algo o avanzar.
","El comportamiento agresivo se caracteriza por acciones o actitudes que buscan dañar a otra persona, ya sea física o verbalmente. Esto puede manifestarse como ataques físicos, insultos crueles, actitudes hostiles u obstáculos sin explicación. La agresividad puede ser una respuesta a la frustración, el miedo o el estrés. Es importante reconocer y manejar estas emociones de manera saludable para evitar dañar a uno mismo o a los demás.",La agresividad es un comportamiento negativo que se caracteriza por acciones dañinas o hostiles tanto verbales como físicas. También puede ocurrir cuando hay actitudes negativas y desconfianza ocultos hacia otras personas o situaciones.
014,ldl,Sigla en inglés de lipoproteína de baja densidad. Clase de lipoproteína responsable del transporte de colesterol a los tejidos extrahepáticos. Se forma en la circulación cuando las proteínas de muy baja densidad son degradadas inicialmente a lipoproteínas de densidad intermedia y después a LDL por la ganancia y la pérdida de apolipoproteínas específicas y la pérdida de la mayor parte de sus triglicéridos. Es captada y metabolizada por el hígado y por los tejidos extrahepáticos mediante endocitosis específica mediada por receptor ,"Tipo de grasa que circula por la sangre y lleva colesterol desde el hígado hasta el resto del cuerpo. Cuando su nivel en sangre es alto, puede acumularse en las paredes de las arterias y dificultar el paso de la sangre, lo que aumenta el riesgo de enfermedades del corazón. Por eso se le llama popularmente «colesterol malo». Un análisis de sangre permite conocer si sus valores están dentro de los límites saludables.","Es un tipo de colesterol que circula por la sangre y lleva esta sustancia a distintas partes del cuerpo. Cuando su nivel es alto, puede acumularse en las paredes de los vasos sanguíneos y dificultar el paso de la sangre. Con el tiempo, esta acumulación aumenta el riesgo de problemas del corazón y de la circulación. Por eso, es importante mantenerlo en valores adecuados mediante hábitos de vida saludables y el seguimiento médico cuando sea necesario.
",Una lipoproteína de baja densidad es un tipo de partícula que transporta colesterol a las células del cuerpo. Se forma cuando otras partes de la partícula se descomponen y cambian su estructura. El hígado y las células capturan estas partículas para controlar el nivel de colesterol en la sangre.,Las lipoproteínas de baja densidad (LDL) transportan el colesterol a los tejidos del cuerpo. Se forman a partir de otras lipoproteínas y se degradan en el hígado y los tejidos.
015,fluticasona,"Esteroide con actividad del receptor de glucocorticoide que se utiliza para controlar los síntomas del asma, rinitis alérgica y dermatitis atópica. ","Medicamento que pertenece al grupo de los corticoides y que se usa para reducir la inflamación en distintas partes del cuerpo. Se emplea para aliviar síntomas como la dificultad para respirar en el asma, el picor y los estornudos propios de la alergia nasal, y el picor o enrojecimiento de la piel en casos de eccema. Suele administrarse en forma de inhalador, espray nasal o crema, según la zona del cuerpo que se trate.","Es un medicamento que se usa para reducir la inflamación y aliviar síntomas como la dificultad para respirar, los estornudos, el picor o el enrojecimiento. Se emplea sobre todo en problemas respiratorios y en algunas afecciones de la piel relacionadas con las alergias. Ayuda a controlar los síntomas, pero no cura la causa del problema. Suele utilizarse de forma regular siguiendo las indicaciones del personal de salud.
","Una sustancia que ayuda a reducir la inflamación en el cuerpo es un esteroide. Se usa para tratar a las personas que sufren de problemas como el asma, la rinitis alérgica y la dermatitis atópica. Estos problemas ocurren cuando el sistema inmunitario reacciona excesivamente a los alérgenos en el aire o en la piel. La sustancia ayuda a controlar estos síntomas reduciendo la inflamación en las vías respiratorias y en la piel.","La fluticasona es un medicamento que se parece a las hormonas naturales que hay en nuestro cuerpo. Ayuda a controlar los síntomas de enfermedades como el asma, la rinitis alérgica y la dermatitis atópica."
016,goma,"Caucho: elastómero polimérico de alto peso molecular, derivado del jugo lechoso (látex) de la Hevea brasiliensis y de otros árboles y plantas. Es una sustancia que puede estirarse a temperatura ambiente al menos al doble de su longitud original y después de liberarla de la tensión, retraerse rápidamente y recuperar sus dimensiones originales, completamente. La goma sintética se confecciona a partir de muchos productos químicos diferentes, entre los que se incluyen el estireno, acrilonitrilo, etileno, propileno e isopreno. ","Material natural o artificial muy flexible y elástico que puede estirarse con facilidad y volver a su forma original cuando se deja de estirar. El natural se obtiene del líquido que producen ciertos árboles tropicales, mientras que el artificial se fabrica a partir de productos químicos. Gracias a sus propiedades, se utiliza en multitud de objetos cotidianos, como guantes, ruedas, tubos o materiales de protección. En el ámbito sanitario, está presente en numerosos productos médicos.","Es un material flexible que puede estirarse y volver a su forma original sin romperse. Se obtiene de algunas plantas o puede fabricarse de manera artificial. Se usa mucho en objetos de uso diario porque es resistente, impermeable y elástico, como en guantes, ruedas, suelas de calzado o cierres. Su capacidad para adaptarse a distintas formas lo hace útil en muchos ámbitos.
","La goma es un material elastómero polimérico extraído de plantas, como la Hevea brasiliensis. Puede estirarse hasta el doble de su tamaño original y luego recuperar su forma después de liberar la tensión. La goma se produce sintética a partir de diversos productos químicos.","La goma es un material elástico que puede estirarse y recuperar su tamaño original sin dañarse. Se puede encontrar en forma natural, derivada de plantas como el látex, o se puede fabricar en el laboratorio."
017,creatina,Aminoácido que se encuentra en los tejidos y orina de los vertebrados. En el tejido muscular se encuentra generalmente como fosfocreatina. La creatina se excreta como creatinina en la orina. ,"Sustancia natural que el propio cuerpo produce y que también se encuentra en alimentos como la carne y el pescado. Se almacena principalmente en los músculos, donde ayuda a proporcionar energía rápida durante el ejercicio físico. El organismo la transforma y la elimina posteriormente a través de la orina. Su nivel en sangre u orina puede medirse para obtener información sobre el funcionamiento de los riñones y la salud muscular en general.","Es una sustancia natural del cuerpo que se encuentra sobre todo en los músculos. Ayuda a producir energía rápida para movimientos breves e intensos, como levantar peso o correr a gran velocidad. El organismo la obtiene de algunos alimentos y también la fabrica por sí mismo. La parte que no se usa se elimina a través de la orina.
","### Término y definición simplificada ###
""Es un aminoácido presente en todo el cuerpo, especialmente en los músculos. Se encuentra principalmente en forma de fosfocreatina en las células musculares. Cuando se desgasta en el movimiento, el cuerpo recupera esta energía mediante la reactivación del fosfocreatina.""","La creatina es un aminoácido encontrado en los músculos de los vertebrados. También se puede encontrar en la orina. En los músculos, la creatina se convierte en fosfocreatina, que es un importante almacenamiento de energía."
018,sensibilidad a la luz,Sensibilidad anormal a la luz. Esta puede ocurrir como manifestación de enfermedades oculares; migraña; hemorragia subaracnoidea; meningitis; y de otros trastornos. La fotofobia puede ocurrir también en asociación con depresión y de otros trastornos mentales. ,"Molestia o dolor que siente una persona cuando está expuesta a la luz, ya sea natural o artificial, incluso cuando la intensidad de esa luz es normal. Los ojos reaccionan de forma exagerada y la persona puede sentir la necesidad de cerrarlos o apartarse de la fuente de luz. Puede aparecer como consecuencia de problemas en los ojos, dolores de cabeza intensos, infecciones que afectan al cerebro o ciertos trastornos del estado de ánimo, entre otras causas.","Reacción exagerada ante la luz, que hace que la luz normal resulte molesta o dolorosa para los ojos. Puede provocar ganas de cerrar los ojos, lagrimeo o dolor de cabeza. A veces aparece cuando hay problemas en los ojos o durante dolores de cabeza intensos, y también puede relacionarse con otros problemas de salud o del estado de ánimo.
","Sensibilidad a la luz es un problema donde una persona responde abusivamente al exceso de luz, lo que le causa incomodidad o dolor físico. Esto puede deberse a problemas de salud ocular, dolores de cabeza, hemorragias o trastornos mentales. En algunas personas, simplemente se siente mal cuando entra la luz intensa y busca refugio en un lugar oscuro.","La sensibilidad a la luz es un problema del cuerpo humano en el que la exposición a la luz puede causar síntomas negativos. Este problema puede ocurrir por enfermedades oculares, problemas del cerebro o incluso por algunos estados emocionales."
019,cobre,"Un oligoelemento de metal pesado maleable anaranjado que tiene por símbolo atómico Cu, número atómico 29 y peso atómico 63.55. Sus sales son venenosas. El cobre es esencial en la nutrición siendo un componente de varias proteínas incluyendo la ceruloplasmina, eritrocupreína, citocromo c oxidasea, tirosinasa, etc. Su deficiencia, que es rara, puede resultar en anemia microcítica hipocrómica, neutropenia y alteraciones óseas.","Metal de color rojizo anaranjado que el cuerpo necesita en pequeñas cantidades para funcionar correctamente. Está presente en diversos alimentos y participa en procesos importantes del organismo, como la formación de glóbulos rojos, el mantenimiento de los huesos y el correcto funcionamiento del sistema de defensas. Cuando el organismo no dispone de suficiente cantidad, pueden aparecer problemas como anemia o alteraciones en los huesos, aunque esta situación es poco frecuente. En cantidades elevadas, sin embargo, puede resultar tóxico para el organismo.","Metal de color rojizo que se encuentra en la naturaleza y que el cuerpo necesita en pequeñas cantidades para funcionar bien. Ayuda a mantener la sangre, los huesos y el sistema nervioso en buen estado. Normalmente se obtiene a través de los alimentos. Si falta durante mucho tiempo, pueden aparecer problemas como cansancio o debilidad. En cantidades altas puede ser perjudicial para la salud.
","El ""cobre"" es un elemento metal pesado anaranjado que tiene una importancia crucial en nuestro cuerpo. Es uno de los nutrientes esenciales para la salud, ya que forma parte de varias proteínas importantes, como la ceruloplasmina y la eritrocupreína. Su deficiencia es rara, pero puede causar problemas como la anemia microcítica, la neutropenia y las alteraciones óseas. El cobre tiene un papel fundamental en nuestra salud y su presencia es necesaria para mantener nuestro cuerpo en funcionamiento óptimo.","El cobre es un metal pesado de color naranja que se encuentra en muchos organismos vivos. Es esencial para la salud, siendo un componente de proteínas importantes. Sus sales, sin embargo, pueden ser venenosas."
020,polipropileno,"Polímeros de propileno o propenos. Termoplásticos que pueden ser estirados por presión para formar fibras, películas o formas sólidas. Se utilizan como copolímeros en plásticos, especialmente polietileno. Se utilizan las fibras en tejidos, filtros y suturas quirúrgicas. ","Material plástico muy resistente y ligero que se obtiene a partir de productos químicos derivados del petróleo. Es fácil de moldear con calor, lo que permite fabricar con él una gran variedad de objetos. Se usa en la industria y en la vida cotidiana para hacer envases, tejidos, filtros y otros productos. En el ámbito sanitario, tiene aplicaciones importantes, como la fabricación de hilos especiales que se emplean para cerrar heridas durante intervenciones quirúrgicas.","Material plástico ligero y resistente que se puede moldear en muchas formas. Se usa para fabricar envases, tejidos, filtros y otros objetos de uso diario. Soporta bien el calor y la humedad, y no se rompe con facilidad. Por estas razones, también se emplea en algunos productos usados en el ámbito sanitario.
","El ""polipropileno"" es un tipo de material que se obtiene al mezclar propileno con otros monómeros para formar una molécula única. Es un polímero termoplástico, lo que significa que se puede estirar y moldear a temperatura ambiente sin romperse. Se utiliza ampliamente en la industria del plástico, especialmente en el caso de los ""polietileno"", para crear fibras, películas y formas sólidas. Estas fibras se usan en tejidos, filtros y incluso en algunas suturas quirúrgicas debido a su resistencia y durabilidad.","El polipropileno es un material plástico que se puede convertir en fibras, películas o formas sólidas. Se utiliza en diversos productos, como tejidos, filtros o incluso en algunas aplicaciones médicas."
021,fisis,Area entre la epífisis y la diáfisis en la que tiene lugar el crecimiento del hueso. ,"Zona del hueso donde se produce el crecimiento durante la infancia y la adolescencia. Se encuentra entre la parte central del hueso y sus extremos, y es especialmente activa mientras el cuerpo aún está en desarrollo. Cuando una persona termina de crecer, esta zona se cierra y el hueso deja de aumentar de longitud. Es una área delicada que puede lesionarse con mayor facilidad en personas jóvenes, lo que puede afectar al desarrollo normal del hueso.","Zona del hueso donde se produce el crecimiento durante la infancia y la adolescencia. Gracias a este tejido, los huesos pueden alargarse a medida que la persona crece. Cuando termina el crecimiento, esta zona se endurece y deja de crecer.
","Una estructura ósea importante es el área donde el hueso se vuelve más largo. Se encuentra entre dos partes del hueso llamadas epífisis y diáfisis, donde ocurre un proceso de crecimiento natural del hueso. Es como una ""zona activa"" donde el hueso se fortalece y aumenta en tamaño para adaptarse a las necesidades del cuerpo. Esta zona es crucial para el desarrollo y el crecimiento óseo, especialmente durante la infancia y la adolescencia.","El crecimiento de los huesos se produce en una zona llamada ""fisis"". Esta zona se encuentra entre dos partes del hueso llamadas epífisis y diáfisis."
